Seccion;Manzana;Parcela;SMP;Expediente;Nomenclacion par;Fecha de registro;Direccion;Comuna 1;Codigo postal;Codigo postal argentino;Tipo obra;Superficie (m2);Direccion normalizada;Lon;Lat;Calle;Altura;Barrio;Comuna;
19;145;10;019-145-010;28272071/18;18-19-145-010;2019-03-07;G.CRUZ 2471;Comuna 14;1425;C1425FQE;Obra Media;1419.14;GODOY CRUZ 2471;-58.42733675;-34.58111903;GODOY CRUZ;2471;Palermo;14;
21;55A;43;021-55A-043;30520037/18;18-21-55A-43;2019-02-06;G.CRUZ 2968/72;Comuna 14;1425;C1425FQP;Obra Mayor;3598.16;GODOY CRUZ 2968;-58.42293151;-34.57608748;GODOY CRUZ;2968;Palermo;14;
60;40;26;060-040-026;15478770/18;1-60-40-26;2018-11-13;G.DE COSSIO 5727;Comuna 9;1408;C1408EWE;Obra Menor;444.8;GARCIA DE COSSIO 5727;-58.51020873;-34.64136416;GARCIA DE COSSIO;5727;Liniers;9;
60;25;014a;060-025-014a;21777568/18;1-60-25-14A;2018-09-26;G.DE COSSIO 5871;Comuna 9;1408;C1408EWG;Obra Menor;171.4;GARCIA DE COSSIO 5871;-58.51138472;-34.6424219;GARCIA DE COSSIO;5871;Liniers;9;
 ; ; ; - - ;29876596/17;;2018-04-18;G.DE COSSIO 6273;Comuna 9;1408;C1408EWO;Obra Media;773.58;GARCIA DE COSSIO 6273;-58.51515265;-34.64577572;GARCIA DE COSSIO;6273;Liniers;9;
 ; ; ; - - ;17110863/17;;2018-04-27;G.DE COSSIO 6727;Comuna 9;1408;C1408EWY;Obra Menor;166.18;GARCIA DE COSSIO 6727;-58.51865592;-34.6489415;GARCIA DE COSSIO;6727;Liniers;9;
72;18;001b;072-018-001b;18844708/17;1-72-018-001b;2017-12-11;G.DE COSSIO 7502/06;Comuna 9;1408;C1408EXP;Obra Menor;244.47;GARCIA DE COSSIO 7502;-58.52456035;-34.65436592;GARCIA DE COSSIO;7502;Liniers;9;
43;5;006b;043-005-006b;19120718/18;16-43-005-06b;2019-05-09;G.DEL RIO 3873;Comuna 12;1430;C1430ACE;Obra Media;1004.58;GARCIA DEL RIO 3873;-58.48324177;-34.55342009;GARCIA DEL RIO;3873;Saavedra;12;
 ; ; ; - - ;16540858/16;;2018-06-19;G.DEL RIO 4037;Comuna 12;1430;C1430ACG;Obra Media;1699.1;GARCIA DEL RIO 4037;-58.48482685;-34.55425911;GARCIA DEL RIO;4037;Saavedra;12;
77;52;29;077-052-029;24389033/16;77-52-29;2019-03-27;G.FONSECA 426;Comuna 10;1407;C1407ATH;Obra Menor;300.45;GOMEZ DE FONSECA 426;-58.49045309;-34.63166835;GOMEZ DE FONSECA;426;Velez Sarsfield;10;
77;52;033a;077-052-033a;13294221/18;1-77-52-33a;2018-07-20;G.FONSECA 452/54;Comuna 10;1407;C1407ATH;Obra Media;588.2;GOMEZ DE FONSECA 452;-58.49074038;-34.6314385;GOMEZ DE FONSECA;452;Velez Sarsfield;10;
 ; ; ; - - ;18422810/14;;2018-06-13;G.LA FERRERE 2295;Comuna 7;1406;C1406HEW;Obra Menor;325.02;LAFERRERE, GREGORIO DE 2295;-58.45660834;-34.63449933;LAFERRERE, GREGORIO DE;2295;Flores;7;
42;56;001c;042-056-001c;18464850/18;5-42-56-1C;2018-11-13;G.LAFERRERE 1350/52;Comuna 7;1406;C1406HEF;Obra Media;896.99;LAFERRERE, GREGORIO DE 1350;-58.44668095;-34.63143046;LAFERRERE, GREGORIO DE;1350;Parque Chacabuco;7;
24;125;033a;024-125-033a;29731301/17;1-24-125-33a;2018-08-27;G.LAFERRERE3817;Comuna 9;1407;C1407HQE;Obra Menor;250;LAFERRERE, GREGORIO DE 3817;-58.47152549;-34.64471151;LAFERRERE, GREGORIO DE;3817;Parque Avellaneda;9;
33;16;23;033-016-023;2950273/16;17-33-16-23;2017-12-18;G.LEMOS 245;Comuna 15;1427;C1427BQE;Obra Media;727.71;LEMOS, JUAN GREGORIO, GRAL. 245;-58.44910102;-34.58850977;LEMOS, JUAN GREGORIO, GRAL.;245;Chacarita;15;
33;09B;13;033-09B-13;22677026/18;17-33-9B-13/14;2018-09-19;G.LEMOS 332/40;Comuna 15;1427;C1427BQH;Obra Mayor;2969.77;LEMOS, JUAN GREGORIO, GRAL. 332;-58.4500006;-34.58823132;LEMOS, JUAN GREGORIO, GRAL.;332;Chacarita;15;
33;09B;14;033-09B-14;22677026/18;17-33-9B-13/14;2018-09-19;G.LEMOS 332/40;Comuna 15;1427;C1427BQH;Obra Mayor;2969.77;LEMOS, JUAN GREGORIO, GRAL. 332;-58.4500006;-34.58823132;LEMOS, JUAN GREGORIO, GRAL.;332;Chacarita;15;
 ; ; ; - - ;3292953/18;;2018-06-19;G.MISTRAL 3014;Comuna 12;1419;C1419GFT;Obra Menor;84.85;MISTRAL, GABRIELA 3014;-58.50291253;-34.58805259;MISTRAL, GABRIELA;3014;Villa Pueyrredon;12;
83;222;008a;083-222-008a;17064233/18;15-83-222-008A;2018-11-22;G.MISTRAL 3356/68;Comuna 11;1419;C1419GFZ;Obra Mayor;3289.32;MISTRAL, GABRIELA 3356;-58.50740381;-34.59082926;MISTRAL, GABRIELA;3356;Villa Devoto;11;
83;199;31;083-199-031;25960498/16;15-83-199-31;2019-04-05;G.MISTRAL 3429;Comuna 11;1419;C1419GGA;Obra Menor;101.74;MISTRAL, GABRIELA 3429;-58.50841957;-34.59136133;MISTRAL, GABRIELA;3429;Villa Devoto;11;
83;199;31;083-199-031;25960498/16;15-83-199-31;2017-11-28;G.MISTRAL 3429;Comuna 11;1419;C1419GGA;Obra Media;1077.63;MISTRAL, GABRIELA 3429;-58.50841957;-34.59136133;MISTRAL, GABRIELA;3429;Villa Devoto;11;
83;35;26;083-035-026;21135336/17;15-83-35-26;2017-11-22;G.MISTRAL 4235/37;Comuna 11;1419;C1419GHA;Obra Menor;54.96;MISTRAL, GABRIELA 4235;-58.51824317;-34.59742458;MISTRAL, GABRIELA;4235;Villa Devoto;11;
 ; ; ; - - ;28769672/17;;2018-05-17;G.MISTRAL 4448/50;Comuna 11;1419;C1419GHF;Obra Media;647.34;MISTRAL, GABRIELA 4448;-58.52075585;-34.59906916;MISTRAL, GABRIELA;4448;Villa Devoto;11;
62;135;16;062-135-016;30297370/17;1-62-135-16;2019-02-28;G.NACIONAL 1270/74;Comuna 9;1440;C1440DTR;Obra Menor;186.5;GUARDIA NACIONAL 1270;-58.49149613;-34.64910659;GUARDIA NACIONAL;1270;Mataderos;9;
 ; ; ; - - ;7149886/18;;2018-05-31;G.POMAR 3596/00;Comuna 4;1437;C1437JFD;Obra Media;1665.38;POMAR, GREGORIO TTE. CNEL. 3596;-58.41402807;-34.64006809;POMAR, GREGORIO TTE. CNEL.;3596;Nueva Pompeya;4;
 ; ; ; - - ;19649967/17;;2018-04-19;G.RODRIGUEZ 2574;Comuna 15;1416;C1416CND;Obra Menor;236.37;RODRIGUEZ, MANUEL A., GENERAL 2574;-58.46063746;-34.59783398;RODRIGUEZ, MANUEL A., GENERAL;2574;Paternal;15;
19;99;020a;019-099-020a;6920882/13;18-19-99-20a;2017-09-11;G.SALGUERO 1631/41;Comuna 14;1425;C1425DEA;Obra Mayor;3280.67;SALGUERO, JERONIMO 1631;-58.4175525;-34.59120466;SALGUERO, JERONIMO;1631;Palermo;14;
27;120;6;027-120-006;12537524/18;16-27-120-006;2018-08-06;G.UDAONDO 1448;Comuna 13;1428;C1428BJS;Obra Menor;206.58;UDAONDO, GUILLERMO AV. 1448;-58.45388624;-34.54876563;UDAONDO, GUILLERMO AV.;1448;Belgrano;13;
 ; ; ; - - ;26123177/17;;2018-06-15;G.VIEJA 3748/62;Comuna 5;1192;C1192AAJ;Obra Mayor;4448.83;GUARDIA VIEJA 3748;-58.41699133;-34.60126461;GUARDIA VIEJA;3748;Almagro;5;
17;62;30;017-062-030;25589029/18;7-17-62-30;2019-03-18;G.VIEJA 4235/37;Comuna 5;1192;C1192AAS;Obra Media;1623.17;GUARDIA VIEJA 4235;-58.42428746;-34.600294;GUARDIA VIEJA;4235;Almagro;5;
17;35;19;017-035-019;11014113/17;07-17-035-19;2017-11-30;G.VIEJA 4495/99;Comuna 5;1192;C1192AAW;Obra Media;2267.48;GUARDIA VIEJA 4495;-58.42805465;-34.59993065;GUARDIA VIEJA;4495;Almagro;5;
 ; ; ; - - ;7488087/18;;2018-04-24;GABRIELA MISTRAL 4557;Comuna 11;1419;C1419GHG;Obra Media;1394.23;MISTRAL, GABRIELA 4557;-58.52212895;-34.5998256;MISTRAL, GABRIELA;4557;Villa Devoto;11;
 ; ; ; - - ;30156671/17;;2018-04-27;GALICIA 1035;Comuna 6;1416;C1416DGK;Obra Media;962.33;GALICIA 1035;-58.45384574;-34.60734189;GALICIA;1035;Caballito;6;
47;76;27;047-076-027;30211947/18;15-47-76-27;2019-05-14;GALICIA 253;Comuna 15;1414;C1414EBC;Obra Media;585.74;GALICIA 253;-58.44626262;-34.60240255;GALICIA;253;Villa Crespo;15;
67;51;7;067-051-007;23065418/17;17-67-51-07;2018-07-16;GALICIA 2754/60;Comuna 11;1416;C1416DHT;Obra Media;1940.62;GALICIA 2754;-58.47399876;-34.61753142;GALICIA;2754;Villa Santa Rita;11;
 ; ; ; - - ;29673666/17;;2018-03-02;GALICIA 2765;Comuna 11;1416;C1416DHS;Obra Media;1426.79;GALICIA 2765;-58.4741987;-34.61755186;GALICIA;2765;Villa Santa Rita;11;
 ; ; ; - - ;29429852/17;;2018-02-05;GALICIA 2861;Comuna 11;1416;C1416DHU;Obra Media;1123.38;GALICIA 2861;-58.47518918;-34.61807448;GALICIA;2861;Villa Santa Rita;11;
 ; ; ; - - ;26714005/16;;2018-02-22;GALLO 1286/90;Comuna 2;1425;C1425EFB;Obra Mayor;2772.88;GALLO 1286;-58.41125952;-34.59548645;GALLO;1286;Recoleta;2;
15;45B;30ey30d;015-45B-30ey30d;15486442/16;19-15-45B-30ey30d;2018-07-10;GALLO 1430/54;Comuna 2;1425;C1425EFF;Obra Mayor;6760.23;GALLO 1430;-58.41014207;-34.59347089;GALLO;1430;Recoleta;2;
13;55;12;013-055-012;31087030/18;9-13-55-12;2018-12-05;GALLO 829;Comuna 3;1172;C1172ABQ;Obra Menor;321.01;GALLO 829;-58.41217396;-34.59995069;GALLO;829;Balvanera;3;
13;56;013b;013-056-013b;31270313/18;9-13-56-13b;2019-05-15;GALLO 909;Comuna 3;1172;C1172ABS;Obra Mayor;6818.85;GALLO 909;-58.41205003;-34.59917127;GALLO;909;Balvanera;3;
 ; ; ; - - ;18446014/14;;2018-01-04;GALLO 915/33;Comuna 3;1172;C1172ABS;Obra Mayor;3186.96;GALLO 915;-58.4120377;-34.59909357;GALLO;915;Balvanera;3;
53;31;010c;053-031-010c;16334244/17;16-53-31-10C;2017-10-24;GALVAN 2877;Comuna 12;1431;C1431FVB;Obra Media;528.18;GALVAN 2877;-58.48581317;-34.56868421;GALVAN;2877;Villa Urquiza;12;
 ; ; ; - - ;10295252/16;;2018-05-29;GALVAN 2972;Comuna 12;1431;C1431FVP;Obra Media;1111.84;GALVAN 2972;-58.4864441;-34.56813545;GALVAN;2972;Villa Urquiza;12;
53;33;14;053-033-014;18072779/17;16-53-33-14;2017-10-24;GALVAN 3051;Comuna 12;1431;C1431FVD;Obra Media;1814.87;GALVAN 3051;-58.48697896;-34.56735223;GALVAN;3051;Villa Urquiza;12;
53;34;15;053-034-015;26783603/18;16-53-34-15;2019-04-22;GALVAN 3145;Comuna 12;1431;C1431FVE;Obra Media;736.12;GALVAN 3145;-58.48780398;-34.56642248;GALVAN;3145;Villa Urquiza;12;
53;34;15;053-034-015;26783603/18;16-53-34-15;2018-12-18;GALVAN 3145;Comuna 12;1431;C1431FVE;Obra Media;736.12;GALVAN 3145;-58.48780398;-34.56642248;GALVAN;3145;Villa Urquiza;12;
 ; ; ; - - ;23850948/17;;2018-05-04;GALVAN 3153;Comuna 12;1431;C1431FVE;Obra Media;761;GALVAN 3153;-58.48785987;-34.56636007;GALVAN;3153;Villa Urquiza;12;
53;35;14;053-035-014;13116928/18;16-53-35-14;2018-08-22;GALVAN 3245/47;Comuna 12;1431;C1431FVF;Obra Media;1028.25;GALVAN 3245;-58.4887472;-34.56536831;GALVAN;3245;Villa Urquiza;12;
53;24;036a;053-024-036a;5167293/18;16-53-24-36a;2018-11-28;GALVAN 3256/62;Comuna 12;1431;C1431FVS;Obra Media;2027.7;GALVAN 3256;-58.4889147;-34.56534386;GALVAN;3256;Villa Urquiza;12;
53;37A;12;053-37A-012;26191214/15;16-53-37A-12;2018-11-28;GALVAN 3429;Comuna 12;1431;C1431FVH;Obra Media;878;GALVAN 3429;-58.49023902;-34.56363775;GALVAN;3429;Villa Urquiza;12;
16;53;37b11;016-053-37b11;20057423/17;16-53-37b11;2017-10-24;GALVAN 3469;Comuna 12;1431;C1431FVH;Obra Media;1013.67;GALVAN 3469;-58.49070688;-34.56296974;GALVAN;3469;Villa Urquiza;12;
61;47;19;061-047-019;27806038/17;15-61-047-019;2018-10-09;GAMARRA 1141;Comuna 15;1427;C1427AYA;Obra Media;1575.35;GAMARRA 1141;-58.4743637;-34.58567932;GAMARRA;1141;Parque Chas;15;
61;50;16;061-050-016;20557789/18;15-61-50-16;2019-03-12;GAMARRA 1245/49;Comuna 15;1427;C1427AYC;Obra Media;1327.96;GAMARRA 1245;-58.47500592;-34.58491362;GAMARRA;1245;Parque Chas;15;
61;79;38;061-079-038;6297050/17;15-61-79-38;2017-11-22;GAMARRA 1418;Comuna 15;1427;C1427AYH;Obra Media;797;GAMARRA 1418;-58.47600334;-34.58386041;GAMARRA;1418;Parque Chas;15;
51;50B;24;051-50B-024;19203600/18;16-51-50B-24;2019-02-25;GAMARRA 1850;Comuna 12;1431;C1431FFH;Obra Media;907.27;GAMARRA 1850;-58.48095409;-34.57951257;GAMARRA;1850;Villa Urquiza;12;
51;50A;15;051-50A-015;32758569/18;15-51-50A-15;2019-02-01;GAMARRA 1867/69;Comuna 12;1431;C1431FFG;Obra Media;1325.5;GAMARRA 1867;-58.48095981;-34.57937225;GAMARRA;1867;Villa Urquiza;12;
93;10;29;093-010-029;15607375/18;15-93-10-29;2018-11-28;GANA 756;Comuna 10;1408;C1408BNN;Obra Menor;66.75;GANA 756;-58.52788752;-34.62984238;GANA;756;Versalles;10;
61;119;8;061-119-008;20383854/16;15-61-119-8;2017-11-22;GANDARA 3184;Comuna 15;;;Obra Menor;301.29;GANDARA 3184;-58.48400959;-34.58521148;GANDARA;3184;Parque Chas;15;
 ; ; ; - - ;26808305/16;;2018-01-12;GAONA 1327;Comuna 6;1416;C1416DRB;Obra Mayor;4245.58;GAONA AV. 1327;-58.44825833;-34.60840225;GAONA AV.;1327;Caballito;6;
57;123;15;057-123-015;24971248/18;05-57-123-15;2019-05-24;GAONA 1360/64;Comuna 6;1416;C1416DRO;Obra Mayor;2976.53;GAONA AV. 1360;-58.44839975;-34.60868183;GAONA AV.;1360;Caballito;6;
57;123;15;057-123-015;124971248/18;05-57-123-15;2018-12-07;GAONA 1360/64;Comuna 6;1416;C1416DRO;Micro Obra;;GAONA AV. 1360;-58.44839975;-34.60868183;GAONA AV.;1360;Caballito;6;
 ; ; ; - - ;4437908/18;;2018-02-01;GAONA 1369;Comuna 6;1416;C1416DRB;Obra Mayor;2651.36;GAONA AV. 1369;-58.44864294;-34.60860712;GAONA AV.;1369;Caballito;6;
 ; ; ; - - ;28213509/16;;2018-01-25;GAONA 1376;Comuna 6;1416;C1416DRO;Obra Mayor;2932.2;GAONA AV. 1376;-58.4485583;-34.60876772;GAONA AV.;1376;Caballito;6;
 ; ; ; - - ;22658453/17;;2018-01-24;GAONA 1600;Comuna 6;1416;C1416DRQ;Obra Mayor;3563.45;GAONA AV. 1600;-58.45078136;-34.60997104;GAONA AV.;1600;Caballito;6;
59;125;23;059-125-023;13477503/18;15-59-125-23;2018-12-20;GAONA 1973/79;Comuna 6;1416;C1416DRH;Obra Media;2052.21;GAONA AV. 1973;-58.45564428;-34.61225137;GAONA AV.;1973;Caballito;6;
65;98;8;065-098-008;9430259/18;5-65-98-8;2018-12-04;GAONA 2936/40;Comuna 7;1416;C1416DSR;Obra Media;2218.34;GAONA AV. 2936;-58.46711848;-34.61700089;GAONA AV.;2936;Flores;7;
67;62;26;067-062-026;30060304/18;15-67-62-26;2019-05-24;GAONA 3235/55;Comuna 11;1416;C1416DSH;Obra Media;1910.61;GAONA AV. 3235;-58.47086211;-34.61864472;GAONA AV.;3235;Villa Gral. Mitre;11;
65;60;6;065-060-006;21153913/16;5-65-060-006;2018-11-20;GAONA 3248/52;Comuna 7;1416;C1416DSU;Obra Media;2457.86;GAONA AV. 3248;-58.47101465;-34.61893141;GAONA AV.;3248;Flores;7;
67;38;15;067-038-015;33034405/18;15-67-038-015;2019-04-24;GAONA 3453/57;Comuna 11;1416;C1416DSJ;Obra Menor;493.57;GAONA AV. 3453;-58.47368667;-34.62013667;GAONA AV.;3453;Villa Santa Rita;11;
77;146;5;077-146-005;30485526/18;1-77-146-005;2019-05-21;GAONA 3878/82;Comuna 10;1407;C1407FIN;Obra Media;1567.4;GAONA AV. 3878;-58.47929844;-34.62325482;GAONA AV.;3878;Floresta;10;
4;13;030b;004-013-030b;39463477/15;12-04-13-30b;2019-01-28;GARAY 649;Comuna 1;1153;C1153ABE;Obra Mayor;2587.38;GARAY, JUAN DE AV. 649;-58.37473117;-34.62441257;GARAY, JUAN DE AV.;649;San Telmo;1;
 ; ; ; - - ;30122721/17;;2018-06-05;GARCIA DE COSSIO 6915;Comuna 9;1408;C1408EXC;Obra Menor;202.01;GARCIA DE COSSIO 6915;-58.51964803;-34.64983428;GARCIA DE COSSIO;6915;Liniers;9;
 ; ; ; - - ;30403146/17;;2018-05-10;GARCIA DEL RIO 2845/47;Comuna 12;1429;C1429DEE;Obra Mayor;6355.62;GARCIA DEL RIO AV. 2845;-58.4737295;-34.54924799;GARCIA DEL RIO AV.;2845;Saavedra;12;
55;151;20;055-151-020;22211211/17;16-55-151-20;2017-12-27;GARCIA DEL RIO 4645;Comuna 12;1430;C1430ADE;Obra Media;1004.27;GARCIA DEL RIO 4645;-58.49042032;-34.55702452;GARCIA DEL RIO;4645;Saavedra;12;
 ; ; ; - - ;22197170/17;;2018-01-30;GARCIA LORCA 210;Comuna 6;1405;C1405AHB;Obra Mayor;5852.82;GARCIA LORCA, FEDERICO 210;-58.44530359;-34.61898784;GARCIA LORCA, FEDERICO;210;Caballito;6;
10;119;001p;010-119-001p;27075623/15;010-119-001p;2018-11-09;GARIBALDI 1632;Comuna 4;1167;C1167ACH;Obra Menor;238.07;GARIBALDI 1632;-58.36266844;-34.64115394;GARIBALDI;1632;Boca;4;
10;118;7;010-118-007;27407203/18;04-10-118-07;2019-01-30;GARIBALDI 1740;Comuna 4;1167;C1167ACJ;Obra Media;1076.92;GARIBALDI 1740;-58.3621244;-34.6419295;GARIBALDI;1740;Boca;4;
 ; ; ; - - ;28745596/17;;2018-01-25;GARZON 3572;Comuna 9;1407;C1407HLB;Obra Media;532.5;GARZON EUGENIO GENERAL 3572;-58.47165309;-34.64043065;GARZON EUGENIO GENERAL;3572;Parque Avellaneda;9;
19;9;31;019-009-031;15608890/17;18-19-009-031;2017-11-15;GASCON 1224;Comuna 14;1181;C1181ACX;Obra Media;2277.74;GASCON 1224;-58.42316241;-34.59600811;GASCON;1224;Palermo;14;
19;8;15;019-008-015;20552527/18;18-19-8-15;2018-12-05;GASCON 1285/87;Comuna 14;1181;C1181ACW;Micro Obra;;GASCON 1285;-58.42297598;-34.59548114;GASCON;1285;Palermo;14;
 ; ; ; - - ;29998606/17;;2018-06-06;GASCON 268;Comuna 5;1181;C1181ACD;Obra Media;2050.71;GASCON 268;-58.42468347;-34.60922776;GASCON;268;Almagro;5;
 ; ; ; - - ;7972519/17;;2018-01-08;GASCON 48/52;Comuna 5;1181;C1181ABB;Obra Menor;438;GASCON 48;-58.42406167;-34.61192301;GASCON;48;Almagro;5;
17;71;018a;017-071-018a;30159259/18;7-17-71-18a;2018-12-05;GASCON 741/45;Comuna 5;1181;C1181ACM;Obra Media;567.42;GASCON 741;-58.42397749;-34.60230114;GASCON;741;Almagro;5;
 ; ; ; - - ;16856534/17;;2018-02-16;GASCON 741/45;Comuna 5;1181;C1181ACM;Obra Media;528.17;GASCON 741;-58.42397749;-34.60230114;GASCON;741;Almagro;5;
17;52;1;017-052-001;3348757/17;7-17-52-1;2017-10-30;GASCON 80;Comuna 5;1181;C1181ABB;Obra Media;1000.57;GASCON 80;-58.4242256;-34.6116636;GASCON;80;Almagro;5;
17;62;44;017-062-044;16039471/18;7-17-62-44;2018-09-21;GASCON 976/80;Comuna 5;1181;C1181ACR;Obra Media;1341.31;GASCON 976;-58.42366444;-34.59942703;GASCON;976;Almagro;5;
67;115;38;067-115-038;14130904/16;15-67-115-38;2018-11-28;GAVILAN 2138/40;Comuna 11;1416;C1416ACT;Obra Media;522.44;GAVILAN 2138;-58.47326851;-34.60638874;GAVILAN;2138;Villa Gral. Mitre;11;
65;111;10;065-111-010;30410560/17;5-065-111-010;2018-10-08;GAVILAN 371;Comuna 7;1406;C1406BBC;Obra Media;1351.41;GAVILAN 371;-58.46145216;-34.62480746;GAVILAN;371;Flores;7;
 ; ; ; - - ;10190499/16;;2018-05-16;GAVILAN 3880;Comuna 15;1419;C1419ENH;Obra Menor;76.24;GAVILAN 3880;-58.48885805;-34.5873918;GAVILAN;3880;Agronomia;15;
 ; ; ; - - ;11350199/17;;2018-06-12;GAVILAN 4029/31;Comuna 15;1419;C1419ENK;Obra Media;549.78;GAVILAN 4029;-58.48979029;-34.58624686;GAVILAN;4029;Agronomia;15;
73;84;13;073-084-013;10312825/15;16-73-84-13;2019-04-09;GAVILAN 4455;Comuna 12;1419;C1419ENS;Obra Menor;358.38;GAVILAN 4455;-58.49250053;-34.58325053;GAVILAN;4455;Villa Pueyrredon;12;
73;86;005j;073-086-005j;27185881/17;16-73-86-5j;2017-11-23;GAVILAN 4671;Comuna 12;1419;C1419ENW;Obra Media;1320.76;GAVILAN 4671;-58.49393901;-34.58166569;GAVILAN;4671;Villa Pueyrredon;12;
65;99;29;065-099-029;18023831/16;05-65-99-29;2018-11-09;GAVILAN 48/52;Comuna 7;1406;C1406BAB;Obra Menor;190.28;GAVILAN 48;-58.46022607;-34.62739305;GAVILAN;48;Flores;7;
 ; ; ; - - ;18298884/17;;2018-04-17;GAVILAN 4826/28;Comuna 12;1419;C1419EOB;Obra Media;1243.3;GAVILAN 4826;-58.49533261;-34.58025879;GAVILAN;4826;Villa Pueyrredon;12;
73;88;5;073-088-005;22327002/17;16-73-88-05;2017-12-13;GAVILAN 4873;Comuna 12;1419;C1419EOA;Obra Media;776.13;GAVILAN 4873;-58.49548857;-34.5799637;GAVILAN;4873;Villa Pueyrredon;12;
65;115;8;065-115-8;32252690/18;05-65-115-8/9;2019-02-07;GAVILAN 771/77;Comuna 7;1406;C1406BBK;Obra Mayor;3450.5;GAVILAN 771;-58.46351176;-34.62058812;GAVILAN;771;Flores;7;
65;115;9;065-115-9;32252690/18;05-65-115-8/9;2019-02-07;GAVILAN 771/77;Comuna 7;1406;C1406BBK;Obra Mayor;3450.5;GAVILAN 771;-58.46351176;-34.62058812;GAVILAN;771;Flores;7;
93;183B;27;093-183B-027;22437365/17;15-93-183B-27;2017-11-30;GIBRALTAR 5341;Comuna 10;1408;C1408CWA;Obra Menor;388.2;GIBRALTAR 5341;-58.5126269;-34.62420101;GIBRALTAR;5341;Monte Castro;10;
38;162;7;038-162-007;19609690/18;1-38-162-007;2018-11-20;GIBSON 4019/21;Comuna 5;1255;C1255AAC;Micro Obra;;GIBSON 4019;-58.42038294;-34.63851296;GIBSON;4019;Boedo;5;
38;161;8;038-161-008;17383577/18;1-38-161-008;2019-02-12;GIBSON 4068;Comuna 5;1255;C1255AAD;Obra Menor;395.88;GIBSON 4068;-58.42071663;-34.63866703;GIBSON;4068;Boedo;5;
49;098B;21;049-098B-021;30140768/18;15-49-098B-021;2018-10-12;GIRARDOT 1529/31;Comuna 15;1427;C1427AKG;Obra Media;504.04;GIRARDOT 1529;-58.4678611;-34.58648293;GIRARDOT;1529;Villa Ortuzar;15;
31;82;10;031-082-010;30423103/17;18-31-82-10;2018-08-22;GODOY CRUZ 1325/27;Comuna 15;1414;C1414CYC;Micro Obra;17.86;GODOY CRUZ 1325;-58.43796696;-34.590286;GODOY CRUZ;1325;Villa Crespo;15;
19;37;011c;019-037-011c;20040265/18;18-19-37-11C;2018-08-14;GODOY CRUZ 1751/57;Comuna 14;1414;C1414CYK;Obra Media;974.46;GODOY CRUZ 1751;-58.43333717;-34.5871755;GODOY CRUZ;1751;Palermo;14;
 ; ; ; - - ;30351540/17;;2018-03-15;GODOY CRUZ 23758;Comuna 14;1425;C1425FQC;SIN INFORMACION;;GODOY CRUZ 2375;-58.42820341;-34.58210854;GODOY CRUZ;2375;Palermo;14;
21;18;006b;021-018-006b;35587458/15;18-21-18-6b;2017-11-30;GODOY CRUZ 2799;Comuna 14;1425;C1425FQK;Obra Menor;416.83;GODOY CRUZ 2799;-58.42439978;-34.57781653;GODOY CRUZ;2799;Palermo;14;
21;28;20;021-028-020;16619683/17;18-21-28-20;2017-10-03;GODOY CRUZ 2818/22;Comuna 14;1425;C1425FQN;Obra Media;1405.88;GODOY CRUZ 2818;-58.42421469;-34.57745207;GODOY CRUZ;2818;Palermo;14;
21;27;10;021-027-010;23481166/18;18-21-27-10;2018-09-28;GODOY CRUZ 2875/79;Comuna 14;1425;C1425FQM;Obra Media;1728.79;GODOY CRUZ 2875;-58.4237123;-34.57706975;GODOY CRUZ;2875;Palermo;14;
18;73;017c;018-073-017c;30294775/17;3-18-73-17C;2018-10-26;GONCALVES 1077/149;Comuna 4;1276;C1276ACO;Obra Mayor;5271.63;GONCALVES DIAS 1077;-58.37720756;-34.65469864;GONCALVES DIAS;1077;Barracas;4;
18;87;007f;018-087-007f;20369599/17;03-18-87-7f;2017-11-30;GONCALVES DIAZ 738;Comuna 4;1276;C1276ACJ;Obra Menor;215.72;GONCALVES DIAS 738;-58.37890763;-34.65118987;GONCALVES DIAS;738;Barracas;4;
 ; ; ; - - ;18412376/17;;2018-05-17;GOROSTIAGA 2167/69;Comuna 14;1426;C1426CTM;Obra Menor;386.24;GOROSTIAGA 2167;-58.44084738;-34.56898294;GOROSTIAGA;2167;Palermo;14;
 ; ; ; - - ;24202420/17;;2018-01-09;GORRITI  6066/76;Comuna 14;1414;C1414BKN;Obra Mayor;3892.17;GORRITI 6066;-58.44215524;-34.58126994;GORRITI;6066;Palermo;14;
 ; ; ; - - ;29742171/17;;2018-04-11;GORRITI 3562/64;Comuna 2;1172;C1172ACD;Obra Media;711.96;GORRITI 3562;-58.41462585;-34.59565283;GORRITI;3562;Recoleta;2;
 ; ; ; - - ;17039323/17;;2018-02-19;GORRITI 3845;Comuna 14;1172;C1172ACI;Obra Media;1132.58;GORRITI 3845;-58.41912986;-34.59539847;GORRITI;3845;Palermo;14;
 ; ; ; - - ;6366458/18;;2018-04-11;GORRITI 4142;Comuna 14;1172;C1172ACP;Obra Menor;41.17;GORRITI 4142;-58.42333761;-34.59511426;GORRITI;4142;Palermo;14;
 ; ; ; - - ;24323135/17;;2018-01-11;GORRITI 4663/65;Comuna 14;1414;C1414BJI;Obra Menor;287;GORRITI 4663;-58.4275449;-34.59168066;GORRITI;4663;Palermo;14;
35;2;005a;035-002-005a;18398880/15;17-35-02-5a;2017-12-11;GORRITI 5540/60;Comuna 14;1414;C1414BKD;Obra Mayor;6195.06;GORRITI 5540;-58.43676537;-34.58530795;GORRITI;5540;Palermo;14;
