Seccion;Manzana;Parcela;SMP;Expediente;Nomenclacion par;Fecha de registro;Direccion;Comuna 1;Codigo postal;Codigo postal argentino;Tipo obra;Superficie (m2);Direccion normalizada;Lon;Lat;Calle;Altura;Barrio;Comuna;
 ; ; ; - - ;29818306/17;;2018-04-18;24 DE NOVIEMBRE 1652;Comuna 4;1242;C1242AAJ;Obra Menor;415.9;24 DE NOVIEMBRE 1652;-58.40975169;-34.6305419;24 DE NOVIEMBRE;1652;Parque Patricios;4;
 ; ; ; - - ;23833998/17;;2018-02-21;24 DE NOVIEMBRE 759;Comuna 3;1224;C1224AAE;Obra Media;2099.98;24 DE NOVIEMBRE 759;-58.41095764;-34.61976976;24 DE NOVIEMBRE;759;Balvanera;3;
23;25;16;023-025-016;21191302/17;17-23-25-16;2018-07-23;3 DE FEBRERO 1131/33;Comuna 14;1426;C1426BJI;Obra Media;1542.41;3 DE FEBRERO 1131;-58.44393628;-34.56858382;3 DE FEBRERO;1131;Palermo;14;
27;60;14a;027-060-14a;18166688/14;16-27-60-14a/14b;2017-12-13;3 DE FEBRERO 2841/53;Comuna 13;1429;C1429BFA;Obra Mayor;7203.76;3 DE FEBRERO 2841;-58.45772111;-34.55229734;3 DE FEBRERO;2841;Nuñez;13;
27;60;14b;027-060-14b;18166688/14;16-27-60-14a/14b;2017-12-13;3 DE FEBRERO 2841/53;Comuna 13;1429;C1429BFA;Obra Mayor;7203.76;3 DE FEBRERO 2841;-58.45772111;-34.55229734;3 DE FEBRERO;2841;Nuñez;13;
 ; ; ; - - ;29876193/17;;2018-04-03;3 DE FEBRERO 2936;Comuna 13;1429;C1429BFD;Obra Media;1604.3;3 DE FEBRERO 2936;-58.45851061;-34.55136912;3 DE FEBRERO;2936;Nuñez;13;
 ; ; ; - - ;28896008/17;;2018-01-03;3 DE FEBRERO 3331;Comuna 13;1429;C1429BFK;Obra Media;694.74;3 DE FEBRERO 3331;-58.46079837;-34.54810969;3 DE FEBRERO;3331;Nuñez;13;
 ; ; ; - - ;17261782/17;;2018-05-17;3 DE FEBRERO 4074/76;Comuna 13;1429;C1429BFZ;Obra Media;963.15;3 DE FEBRERO 4074;-58.464939;-34.54262783;3 DE FEBRERO;4074;Nuñez;13;
 ; ; ; - - ;29266132/17;;2018-03-12;3 DE FEBRERO 4169;Comuna 13;1429;C1429BGA;Obra Menor;488.88;3 DE FEBRERO 4169;-58.46542579;-34.54181939;3 DE FEBRERO;4169;Nuñez;13;
29;85;12;029-085-012;4350046/16;16-29-85-12;2017-10-26;3 DE FEBRERO 4255;Comuna 13;1429;C1429BGC;Obra Media;902.5;3 DE FEBRERO 4255;-58.46590871;-34.54117034;3 DE FEBRERO;4255;Nuñez;13;
23;17;9;023-017-009;10448323/17;23-17-9;2017-10-03;3 DE FEBRERO 990;Comuna 14;1426;C1426BJF;Obra Media;1349.48;3 DE FEBRERO 990;-58.44278916;-34.5694944;3 DE FEBRERO;990;Palermo;14;
